orig_index,REEF_NAME,SITE_NO,site_name,year_raw,longitude_raw,latitude_raw,cyc_dis,dhw_dis,other_dis,cyc_lag1,dhw_lag1,other_lag1,cyc_lag2,dhw_lag2,other_lag2,year,site_longitude,site_latitude
2853,Reef 38,Site 3,Reef38 Site 3,4,1.882890485259242,-12.9570684475182,-0.28117182078705266,-1.6838516248573225,0.4576857488018217,-0.31548555799222244,-1.3823705720085917,0.34369215503235834,-0.19067523464864272,0.1789745955130646,-0.6635745052599082,-1.5635875078816566,-0.9472782046455248,-0.01288408577676018
2823,Reef 38,Site 2,Reef38 Site 2,4,1.842890485259242,-12.7770684475182,-0.28117182078705266,-1.6009083030868545,0.12441585882540299,-0.31548555799222244,-1.1608929514286603,0.7998508294526239,-0.30885163914389213,0.26646353081095947,-0.5228730580992539,-1.5635875078816566,-0.9776696128620584,0.15836945627032872
2583,Reef 35,Site 3,Reef35 Site 3,4,1.942890485259242,-12.6270684475182,-0.28117182078705266,-1.6095290497459278,-0.09457980589821423,-0.31548555799222244,-1.0404003954736687,1.0341912019102582,-0.3105454719999772,0.4315517808330179,-0.49449174279751457,-1.5635875078816566,-0.9016910923207245,0.30108074130957
2150,Reef 30,Site 3,Reef30 Site 3,21,2.3228904852592422,-14.0370684475182,-0.28117182078705266,1.0071369729866637,0.9794020997031231,4.125726332973288,1.0830216182761547,-0.08103692505712135,3.4326713800317346,1.2102524714712914,-1.0000246513540325,0.6209573015148023,-0.6129727142636546,-1.0404053380592952
2643,Reef 36,Site 2,Reef36 Site 2,4,1.952890485259242,-13.5370684475182,-0.28117182078705266,-2.60295580659168,0.26455620309843425,-0.31548555799222244,-1.877074315578846,-0.12933015767857206,1.486277665742772,-0.46050996310385783,-1.6836426677233736,-1.5635875078816566,-0.8940932402665911,-0.5647010545951587
3752,Reef 47,Site 3,Reef47 Site 3,3,4.022890485259242,-13.6670684475182,-0.28117182078705266,-0.2646399671063851,-0.21409458311200016,0.5885063420825896,-1.2652533173446208,-0.940579490111916,-0.3113328191843679,-1.3436917758827156,-0.6678561055126503,-1.6920901437285072,0.6786621349390247,-0.6883841682958349
3692,Reef 47,Site 1,Reef47 Site 1,3,4.012890485259242,-13.6670684475182,-0.28117182078705266,-0.26748501093696303,-0.20714218530509199,0.6335603971514692,-1.2541853508545537,-0.931132692249155,-0.3113328191843679,-1.3605497417616619,-0.6611113646059925,-1.6920901437285072,0.6710642828848914,-0.6883841682958349
2674,Reef 36,Site 3,Reef36 Site 3,5,1.942890485259242,-13.3970684475182,-0.28117182078705266,-1.076510616334376,-0.3879942061240446,-0.31548555799222244,-2.459663982022795,0.3911763125058869,-0.3113328191843679,-1.7961780787267994,-0.12235360907585895,-1.4350848720348062,-0.9016910923207245,-0.4315038552251999
3722,Reef 47,Site 2,Reef47 Site 2,3,4.012890485259242,-13.6570684475182,-0.28117182078705266,-0.27437280596384084,-0.22860933830395652,0.6545028769501259,-1.2444811353257255,-0.9548868793364672,-0.3113328191843679,-1.3774198788389453,-0.691416871959684,-1.6920901437285072,0.6710642828848914,-0.6788700826265508
1908,Reef 29,Site 1,Reef29 Site 1,19,2.6128904852592423,-12.947068447518198,3.8927479405925873,0.26610825479209943,-0.38552674023881933,-0.31548555799222244,-0.036368142818098866,-0.6060216302080622,-0.3113328191843679,0.4823217417334035,-1.3780511592899116,0.3639520298211013,-0.39263500469378576,-0.0033700001074759606
2689,Reef 36,Site 3,Reef36 Site 3,20,1.942890485259242,-13.3970684475182,2.120392808372008,-0.1936400033047967,0.6165415366308469,2.478872416164645,0.3884818610435028,-0.5644222992195329,-0.3113328191843679,-0.33656825635447457,-0.23707010203289736,0.4924546656679519,-0.9016910923207245,-0.4315038552251999
3633,Reef 46,Site 2,Reef46 Site 2,4,0.4628904852592421,-11.0570684475182,-0.28117182078705266,-2.0375961821117743,-0.6855629267976535,-0.31548555799222244,-1.2390884202128407,0.5138328909585563,-0.26470262997721206,-0.607489277249565,1.2550057786819335,-1.5635875078816566,-2.026173196332469,1.7947921913869593
3663,Reef 46,Site 3,Reef46 Site 3,4,0.482890485259242,-11.0270684475182,-0.28117182078705266,-2.007590054869559,-0.7151024511951484,-0.31548555799222244,-1.2152424458692133,0.5255400069012498,-0.20584457421087396,-0.6270298240207651,1.3242514879693064,-1.5635875078816566,-2.0109774922242023,1.8233344483948069
3632,Reef 46,Site 2,Reef46 Site 2,3,0.4628904852592421,-11.0570684475182,-0.28117182078705266,-1.308139061586744,0.4928389662179591,-0.2696709545996336,-0.7032676913682715,1.1903253318799847,-0.3113328191843679,-1.4944323583707366,-0.5062378375782951,-1.6920901437285072,-2.026173196332469,1.7947921913869593
3452,Reef 44,Site 2,Reef44 Site 2,3,1.052890485259242,-11.5170684475182,-0.28117182078705266,-0.14363950428882918,0.9745278411567291,-0.31548555799222244,-0.011298070163205763,0.6049537541051376,-0.3113328191843679,-1.5466946399436716,0.014801329463480197,-1.6920901437285072,-1.5778999251385981,1.3571442505999527
2523,Reef 35,Site 1,Reef35 Site 1,4,2.182890485259242,-12.4170684475182,-0.28117182078705266,-1.367611625776011,0.10956931098629721,-0.31548555799222244,-0.4362287967858619,1.2142844468094718,0.2767608911112917,0.36520060085271194,-0.5027206789716534,-1.5635875078816566,-0.7193426430215225,0.5008765403645066
2120,Reef 30,Site 2,Reef30 Site 2,21,2.1928904852592424,-14.2370684475182,-0.28117182078705266,0.884320765755034,0.9270737243624111,3.942583350659097,0.6287319909830791,-0.2056927995438747,3.3760296825267737,1.0975980088993165,-0.4634973731491488,0.6209573015148023,-0.711744790967389,-1.2306870514449493
2794,Reef 38,Site 1,Reef38 Site 1,5,1.822890485259242,-12.8870684475182,-0.28117182078705266,-1.3159365780978123,-1.6403693123655088,-0.31548555799222244,-1.5347812962427199,0.3429502389714012,-0.3113328191843679,-1.159039083968471,0.6155768249010026,-1.4350848720348062,-0.9928653169703253,0.053714513908219214
2539,Reef 35,Site 1,Reef35 Site 1,20,2.182890485259242,-12.4170684475182,-0.28117182078705266,-0.3818736159394577,0.9722243893094789,4.166213917560134,0.44366333238286787,-1.2272747056395539,-0.3113328191843679,-0.1154548036029866,0.03293352986153883,0.4924546656679519,-0.7193426430215225,0.5008765403645066
2838,Reef 38,Site 2,Reef38 Site 2,19,1.842890485259242,-12.7770684475182,3.4957090868158622,0.576652052854084,-0.4966268404245833,-0.31548555799222244,-0.3036876025552439,0.7780287710006207,-0.3113328191843679,1.1843377203956302,0.9325580317094165,0.3639520298211013,-0.9776696128620584,0.15836945627032872
3542,Reef 45,Site 2,Reef45 Site 2,3,0.6828904852592421,-11.357068447518198,-0.28117182078705266,-0.6049935439978843,0.8590606895385223,-0.31548555799222244,-0.6069027578468066,0.5349120957744122,-0.3113328191843679,-1.5463181891333,-0.3590726620726733,-1.6920901437285072,-1.8590204511415338,1.5093696213084784
2642,Reef 36,Site 2,Reef36 Site 2,3,1.952890485259242,-13.5370684475182,-0.28117182078705266,-1.9451019116156503,-0.17095083063001112,1.4506838018494013,-0.5539254619936171,-1.7268487405328652,-0.3113328191843679,-2.075478905794593,-2.1561286377587274,-1.6920901437285072,-0.8940932402665911,-0.5647010545951587
3422,Reef 44,Site 1,Reef44 Site 1,3,0.952890485259242,-11.357068447518198,-0.28117182078705266,-0.11194997292772195,0.8702313695972288,-0.31548555799222244,-0.4103097647513325,0.7270567020233427,-0.3113328191843679,-1.3754957810446937,0.13037268384869877,-1.6920901437285072,-1.6538784456799318,1.5093696213084784
1788,Reef 27,Site 3,Reef27 Site 3,19,3.0028904852592424,-12.6670684475182,2.084383772017224,0.25796609391565856,-0.24149157483549819,-0.31548555799222244,0.18435249350099964,-0.6629245344663514,-0.3113328191843679,0.7631834692239908,-1.1211059619512223,0.3639520298211013,-0.09631877458258273,0.26302439863243826
3603,Reef 46,Site 1,Reef46 Site 1,4,0.6528904852592421,-11.0770684475182,-0.28117182078705266,-2.188912037184854,-0.8231891200770998,-0.31548555799222244,-0.7489215288676532,0.8160187229919842,0.01787982551561806,-0.7166103876085415,1.1538213873380245,-1.5635875078816566,-1.881814007303934,1.7757640200483924
2808,Reef 38,Site 1,Reef38 Site 1,19,1.822890485259242,-12.8870684475182,3.319983733667002,0.5165489503083297,-0.4613851216296326,-0.31548555799222244,-0.42681425935726464,0.6724729925901816,-0.3113328191843679,1.0652471293425914,0.7457893483752629,0.3639520298211013,-0.9928653169703253,0.053714513908219214
2151,Reef 30,Site 3,Reef30 Site 3,22,2.3228904852592422,-14.0370684475182,-0.28117182078705266,1.0606713762405526,-0.7557569807335517,-0.31548555799222244,1.0799062493659841,0.9852764560340612,4.208940967978714,1.150537094103806,-0.02571543589967821,0.749459937361653,-0.6129727142636546,-1.0404053380592952
1953,Reef 29,Site 3,Reef29 Site 3,4,2.432890485259242,-12.8070684475182,-0.28117182078705266,-1.6605755504873414,0.6954566127145084,-0.31548555799222244,-0.8457185250961835,0.05353571696404012,1.8769600768260242,-0.30356253837665015,-0.4095816981457306,-1.5635875078816566,-0.5293963416681873,0.12982719926248112
1114,Reef 20,Site 2,Reef20 Site 2,5,3.2328904852592424,-13.3970684475182,-0.28117182078705266,-0.7157298350726803,0.9650177886644927,0.9213183021490577,-1.8334907891064836,1.0829562834451487,-0.3113328191843679,-0.27676977342316766,-0.104139912793668,-1.4350848720348062,0.07843182266248568,-0.4315038552251999
1893,Reef 29,Site 1,Reef29 Site 1,4,2.6128904852592423,-12.947068447518198,-0.28117182078705266,-1.6436680302118658,0.518241238851976,-0.31548555799222244,-0.7637568463629802,-0.5402171605740627,3.040758450675784,-0.4409648351938145,-1.004751424579476,-1.5635875078816566,-0.39263500469378576,-0.0033700001074759606
1758,Reef 27,Site 2,Reef27 Site 2,19,3.0928904852592423,-12.6570684475182,1.7497988697199647,0.33370226629007677,-0.15397755443135552,-0.31548555799222244,0.16772350934797195,-0.6396511671142289,-0.3113328191843679,0.8304087094392211,-1.172089378557393,0.3639520298211013,-0.027938106095382154,0.27253848430172245
3602,Reef 46,Site 1,Reef46 Site 1,3,0.6528904852592421,-11.0770684475182,-0.28117182078705266,-0.8187581797070219,0.8047161371481804,0.007968989484512473,-0.8141430889544373,1.0898803523784744,-0.3113328191843679,-1.3278580030230225,-0.16246652886709964,-1.6920901437285072,-1.881814007303934,1.7757640200483924
2612,Reef 36,Site 1,Reef36 Site 1,3,2.082890485259242,-13.4370684475182,-0.28117182078705266,-1.8510682847248705,-0.18469599377761986,1.827229605172209,-0.621798792416699,-1.4145406366071,-0.3113328191843679,-1.9404972610292728,-1.8612830406920915,-1.6920901437285072,-0.7953211635628566,-0.4695601979023317
