survey_depth,point_machine_classification,site_name,year,site_latitude,site_longitude,SITE_NO,REEF_NAME,mean_hcc,cyc_dis,dhw_dis,other_dis
3,HCC,Reef1 Site 1,1,-13.827068447518199,5.782890485259242,Site 1,Reef 1,57.64,0,0.4040543700386376,0.45939742198702893
3,HCC,Reef1 Site 1,2,-13.827068447518199,5.782890485259242,Site 1,Reef 1,60.35236398465779,0,0.44129372652941723,0.38955112033325345
3,HCC,Reef1 Site 1,3,-13.827068447518199,5.782890485259242,Site 1,Reef 1,61.44834727200319,0,0.36033179621473965,0.5367616026585303
3,HCC,Reef1 Site 1,4,-13.827068447518199,5.782890485259242,Site 1,Reef 1,63.38418305901244,0,0.3935226621923418,0.4241264891171841
3,HCC,Reef1 Site 1,5,-13.827068447518199,5.782890485259242,Site 1,Reef 1,63.09543608124253,0,0.3925453148351843,0.5451870384134596
3,HCC,Reef1 Site 1,6,-13.827068447518199,5.782890485259242,Site 1,Reef 1,62.227731834604576,0,0.4581752497193663,0.5114343912389617
3,HCC,Reef1 Site 1,7,-13.827068447518199,5.782890485259242,Site 1,Reef 1,61.42888799678844,0,0.41750955070665513,0.5751128811959735
3,HCC,Reef1 Site 1,8,-13.827068447518199,5.782890485259242,Site 1,Reef 1,59.839999999999996,0,0.38669360832165767,0.7444076656505806
3,HCC,Reef1 Site 1,9,-13.827068447518199,5.782890485259242,Site 1,Reef 1,57.425133647998585,0,0.5170051848411231,0.27904112098813116
3,HCC,Reef1 Site 1,10,-13.827068447518199,5.782890485259242,Site 1,Reef 1,54.82411882778001,0,0.3460940480822116,0.4860579111280744
3,HCC,Reef1 Site 1,11,-13.827068447518199,5.782890485259242,Site 1,Reef 1,52.975106298245166,0,0.504321419825412,0.44927731438264196
3,HCC,Reef1 Site 1,12,-13.827068447518199,5.782890485259242,Site 1,Reef 1,54.56756670649144,0.47863195343811066,0.3736965210456403,0.706079880083395
3,HCC,Reef1 Site 1,13,-13.827068447518199,5.782890485259242,Site 1,Reef 1,52.88,0,0.40305101318576186,0.6210054687232197
3,HCC,Reef1 Site 1,14,-13.827068447518199,5.782890485259242,Site 1,Reef 1,50.50131421744325,0,0.42931139432051635,0.4506950207760745
3,HCC,Reef1 Site 1,15,-13.827068447518199,5.782890485259242,Site 1,Reef 1,48.956820553994376,0.061276366783452996,0.7190133414942167,0.4890686435763509
3,HCC,Reef1 Site 1,16,-13.827068447518199,5.782890485259242,Site 1,Reef 1,46.95120669056153,0,0.7392637462660747,0.46334005297252867
3,HCC,Reef1 Site 1,17,-13.827068447518199,5.782890485259242,Site 1,Reef 1,45.42514726931729,0,0.6355637566410861,0.483059266331195
3,HCC,Reef1 Site 1,18,-13.827068447518199,5.782890485259242,Site 1,Reef 1,44.10280208751505,0,0.4064543646375316,0.595244504062744
3,HCC,Reef1 Site 1,19,-13.827068447518199,5.782890485259242,Site 1,Reef 1,42.43488649940263,0,0.6085491686218161,0.4798014120705338
3,HCC,Reef1 Site 1,20,-13.827068447518199,5.782890485259242,Site 1,Reef 1,41.65878136200717,0,0.5849446996030567,0.5615713311112435
3,HCC,Reef1 Site 1,21,-13.827068447518199,5.782890485259242,Site 1,Reef 1,40.800000000000004,0,0.5811571904174783,0.557978157593271
3,HCC,Reef1 Site 1,22,-13.827068447518199,5.782890485259242,Site 1,Reef 1,40.14954998008761,0,0.7015592329587529,0.3678422167841059
3,HCC,Reef1 Site 1,23,-13.827068447518199,5.782890485259242,Site 1,Reef 1,39.2,0,0.5885902702289137,0.5287309446585585
3,HCC,Reef1 Site 1,24,-13.827068447518199,5.782890485259242,Site 1,Reef 1,38.65226816539543,0,0.5035127192602317,0.46778605781093763
3,HCC,Reef1 Site 1,25,-13.827068447518199,5.782890485259242,Site 1,Reef 1,37.845448028673836,0,0.4804414095583888,0.4579373573483203
3,HCC,Reef1 Site 1,26,-13.827068447518199,5.782890485259242,Site 1,Reef 1,37.519999999999996,0,0.5238491989835665,0.6121426451045542
3,HCC,Reef1 Site 1,27,-13.827068447518199,5.782890485259242,Site 1,Reef 1,37.29067844239261,0.006075242899735122,0.7643613107319465,0.4078664438746142
3,HCC,Reef1 Site 1,28,-13.827068447518199,5.782890485259242,Site 1,Reef 1,37.05841830590124,0,0.834693987320554,0.6482622513966396
3,HCC,Reef1 Site 1,29,-13.827068447518199,5.782890485259242,Site 1,Reef 1,36.740778803693296,0,0.6323699733313457,0.5831846684316109
3,HCC,Reef1 Site 1,30,-13.827068447518199,5.782890485259242,Site 1,Reef 1,36.588518667201924,0,0.7437455924718297,0.5095678360837962
3,HCC,Reef1 Site 2,1,-13.7370684475182,5.722890485259242,Site 2,Reef 1,62.31254837766417,0,0.41518970861705584,0.4408888479602239
3,HCC,Reef1 Site 2,2,-13.7370684475182,5.722890485259242,Site 2,Reef 1,64.56,0,0.4322675689397362,0.3865703576402452
3,HCC,Reef1 Site 2,3,-13.7370684475182,5.722890485259242,Site 2,Reef 1,66.64,0,0.34479917982620856,0.5254643721601517
